GEOID,CENTLAT,CENTLON
22071000100,29.9525028,-90.0508262
22071000200,29.946261800000002,-90.0509868
22071000300,29.94112465,-90.0489774
22071000400,29.947199849999997,-90.0424401
22071000601,29.93294045,-90.041057
22071000602,29.938193000000002,-90.03416953333334
22071000603,29.9305247,-90.02541360000001
22071000604,29.933333199999996,-90.0206749
22071000605,29.9463642,-90.02424023333333
22071000606,29.932539933333334,-90.00927473333333
22071000607,29.927950299999996,-89.99409053333335
22071000611,29.9200515,-89.97886205
22071000612,29.901452799999998,-89.9353313
22071000613,29.920569633333333,-90.02492360000001
22071000615,29.9202508,-90.0077691
22071000616,29.9151772,-89.9933671
22071000617,29.898530549999997,-89.99366864999999
22071000618,29.90655915,-90.00280365
22071000701,29.9720121,-90.020882875
22071000702,29.955382349999997,-90.01354420000001
22071000800,29.95952703333333,-90.01964963333332
22071000901,29.966750374999997,-90.0051855
22071000902,29.974122200000004,-90.01094555
22071000903,29.968833349999997,-90.013536
22071000904,29.963623050000002,-90.01518200000001
22071001100,29.964319433333333,-90.03112163333333
22071001200,29.96440126666667,-90.04704670000001
22071001301,29.969065475,-90.04143834999999
22071001302,29.969738500000002,-90.03447179999999
22071001401,29.980264566666666,-90.03733540000002
22071001402,29.974517374999998,-90.03597405
22071001500,29.974915149999998,-90.04598715
22071001600,29.9817483,-90.0322142
22071001701,30.022040599999997,-90.04027030000002
22071001702,30.009510175,-90.038965875
22071001720,30.0204198,-90.01973614999999
22071001722,30.01771018571429,-90.00157631428571
22071001723,30.020455475,-89.97945307500001
22071001724,30.035156075000003,-90.01724547500001
22071001725,30.043225575,-89.992212525
22071001730,30.0878109,-89.8982943
22071001734,30.105496999999996,-89.7527073
22071001735,30.02473175,-90.00188695
22071001736,30.02967565,-89.9811618
22071001737,30.049773599999998,-89.97830833333335
22071001739,30.04282065,-89.9733566
22071001740,30.054014300000002,-89.95548803333334
22071001741,30.036969899999995,-89.9348205
22071001743,30.030087700000003,-90.0042583
22071001744,30.035782333333334,-89.98831576666667
22071001745,30.057349600000002,-89.9650268
22071001746,30.06695476666667,-89.94992136666667
22071001747,30.0394796,-89.95411250000001
22071001748,30.02483915,-89.95747645
22071001749,30.041515849999996,-89.9240614
22071001750,30.0377462,-89.9167455
22071001751,30.030143100000004,-89.9108413
22071001800,29.96507895,-90.05392375
22071001900,29.971474,-90.05346156666667
22071002000,29.9759468,-90.05311003333334
22071002100,29.9805968,-90.05452679999999
22071002200,29.98129356666667,-90.04934063333333
22071002300,29.98881578,-90.05445577999998
22071002401,29.995132050000002,-90.0555217
22071002402,29.998909500000003,-90.05011042500001
22071002501,30.019142925000004,-90.05745752499999
22071002502,30.019675449999998,-90.05052935
22071002503,30.008001633333336,-90.05687746666668
22071002504,30.008450075,-90.04976922499999
22071002600,29.965565899999998,-90.0592432
22071002700,29.970632933333334,-90.06072069999999
22071002800,29.979267566666667,-90.06707476666668
22071002900,29.975999666666663,-90.06092869999999
22071003000,29.98104395,-90.061463
22071003100,29.98478695,-90.0644331
22071003301,30.016207966666666,-90.07745306666668
22071003302,30.005943350000003,-90.0776709
22071003303,30.0202373,-90.06662076666667
22071003304,30.01224335,-90.06530194999999
22071003307,29.99577645,-90.07097214999999
22071003308,30.000858716666666,-90.06440583333334
22071003400,29.970792449999998,-90.0668285
22071003500,29.975001633333335,-90.0708498
22071003600,29.978413066666665,-90.07337963333333
22071003701,29.988667999999997,-90.08183585
22071003702,29.983236983333327,-90.07594540000001
22071003800,29.96184375,-90.06103605000001
22071003900,29.964951499999998,-90.068858
22071004000,29.9710799,-90.07445924999999
22071004100,29.97801475,-90.08423805
22071004401,29.9685889,-90.07756066666667
22071004402,29.96605365,-90.07816465
22071004500,29.973212966666665,-90.0862498
22071004600,29.981372066666665,-90.09615286666667
22071004800,29.959662199999997,-90.0737231
22071004900,29.962935225,-90.082704875
22071005000,29.97112195,-90.0920477
22071005400,29.9791793,-90.10220193333333
22071005500,29.990130766666667,-90.1093552
22071005601,30.012664225,-90.11148674999998
22071005602,30.012421625,-90.103353275
22071005603,30.00053253333333,-90.11250786666666
22071005604,29.9989356,-90.10494883333335
22071006000,29.956926899999996,-90.08699150000001
22071006300,29.965853,-90.091967
22071006400,29.969863025,-90.09973582500001
22071006500,29.974944266666668,-90.1069592
22071006900,29.951157433333332,-90.09213073333332
22071007000,29.9614026,-90.1033326
22071007101,29.964635199999996,-90.0985727
